"continent","iso3c","country_region","province_state","confirmed","dead","recovered","lat","lon","update","data_update"
"Asia","CHN","Mainland China","Anhui",1,NA,NA,31.8257,117.2264,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Beijing",14,NA,NA,40.1824,116.4142,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Chongqing",6,NA,NA,30.0572,107.874,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Fujian",1,NA,NA,26.0789,117.9874,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Gansu",NA,NA,NA,36.0611,103.8343,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Guangdong",26,NA,NA,23.3417,113.4244,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Guangxi",2,NA,NA,23.8298,108.7881,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Guizhou",1,NA,NA,26.8154,106.8748,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Hainan",4,NA,NA,19.1959,109.7453,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Hebei",1,NA,NA,38.0428,114.5149,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Heilongjiang",NA,NA,NA,47.862,127.7615,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Henan",5,NA,NA,33.882,113.614,2020-01-22 17:00:00,"2020-01-22"
"Asia","HKG","Hong Kong","Hong Kong",NA,NA,NA,22.3,114.2,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Hubei",444,17,28,30.9756,112.2707,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Hunan",4,NA,NA,27.6104,111.7088,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Inner Mongolia",NA,NA,NA,44.0935,113.9448,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Jiangsu",1,NA,NA,32.9711,119.455,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Jiangxi",2,NA,NA,27.614,115.7221,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Jilin",NA,NA,NA,43.6661,126.1923,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Liaoning",2,NA,NA,41.2956,122.6085,2020-01-22 17:00:00,"2020-01-22"
"Asia","MAC","Macau","Macau",1,NA,NA,22.1667,113.55,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Ningxia",1,NA,NA,37.2692,106.1655,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Qinghai",NA,NA,NA,35.7452,95.9956,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Shaanxi",NA,NA,NA,35.1917,108.8701,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Shandong",2,NA,NA,36.3427,118.1498,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Shanghai",9,NA,NA,31.202,121.4491,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Shanxi",1,NA,NA,37.5777,112.2922,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Sichuan",5,NA,NA,30.6171,102.7103,2020-01-22 17:00:00,"2020-01-22"
"Asia","TWN","Taiwan","Taiwan",1,NA,NA,23.7,121,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Tianjin",4,NA,NA,39.3054,117.323,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Tibet",NA,NA,NA,31.6927,88.0924,2020-01-22 17:00:00,"2020-01-22"
"Americas","USA","US","Washington",1,NA,NA,NA,NA,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Xinjiang",NA,NA,NA,41.1129,85.2401,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Yunnan",1,NA,NA,24.974,101.487,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Zhejiang",10,NA,NA,29.1832,120.0934,2020-01-22 17:00:00,"2020-01-22"
"Asia","JPN","Japan",NA,2,NA,NA,36,138,2020-01-22 17:00:00,"2020-01-22"
"Asia","THA","Thailand",NA,2,NA,NA,15,101,2020-01-22 17:00:00,"2020-01-22"
"Asia","KOR","South Korea",NA,1,NA,NA,36,128,2020-01-22 17:00:00,"2020-01-22"
"Asia","CHN","Mainland China","Anhui",9,NA,NA,31.8257,117.2264,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Beijing",22,NA,NA,40.1824,116.4142,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Chongqing",9,NA,NA,30.0572,107.874,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Fujian",5,NA,NA,26.0789,117.9874,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Gansu",2,NA,NA,36.0611,103.8343,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Guangdong",32,NA,2,23.3417,113.4244,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Guangxi",5,NA,NA,23.8298,108.7881,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Guizhou",3,NA,NA,26.8154,106.8748,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Hainan",5,NA,NA,19.1959,109.7453,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Hebei",1,1,NA,38.0428,114.5149,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Heilongjiang",2,NA,NA,47.862,127.7615,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Henan",5,NA,NA,33.882,113.614,2020-01-23 17:00:00,"2020-01-23"
"Asia","HKG","Hong Kong","Hong Kong",2,NA,NA,22.3,114.2,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Hubei",444,17,28,30.9756,112.2707,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Hunan",9,NA,NA,27.6104,111.7088,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Inner Mongolia",NA,NA,NA,44.0935,113.9448,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Jiangsu",5,NA,NA,32.9711,119.455,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Jiangxi",7,NA,NA,27.614,115.7221,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Jilin",1,NA,NA,43.6661,126.1923,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Liaoning",3,NA,NA,41.2956,122.6085,2020-01-23 17:00:00,"2020-01-23"
"Asia","MAC","Macau","Macau",2,NA,NA,22.1667,113.55,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Ningxia",1,NA,NA,37.2692,106.1655,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Qinghai",NA,NA,NA,35.7452,95.9956,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Shaanxi",3,NA,NA,35.1917,108.8701,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Shandong",6,NA,NA,36.3427,118.1498,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Shanghai",16,NA,NA,31.202,121.4491,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Shanxi",1,NA,NA,37.5777,112.2922,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Sichuan",8,NA,NA,30.6171,102.7103,2020-01-23 17:00:00,"2020-01-23"
"Asia","TWN","Taiwan","Taiwan",1,NA,NA,23.7,121,2020-01-23 17:00:00,"2020-01-23"
"Asia","CHN","Mainland China","Tianjin",4,NA,NA,39.3054,117.323,2020-01-23 17:00:00,"2020-01-23"
